key,type1,type2,attributes/2,attributes/3,attributes/4,attributes/5,attributes/6,attributes/7,attributes/8,attributes/9,attributes/10,attributes/11,attributes/12,attributes/13,attributes/14,attributes/15,attributes/16,attributes/17,attributes/18,attributes/19,attributes/20,attributes/21,attributes/22,attributes/23,attributes/label,attributes/size,attributes/color
930,University of Joensuu,Finland,Universities and secondary schools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,University of Joensuu,22.484957,#b7e0d5
1614,Sofia University 'St. Kliment Ohridski',Bulgaria,Universities and Secondary schools,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,Sofia University 'St. Kliment Ohridski',22.484957,#aad7a7
1108,Institute for Political Sciences,Hungary,Research centers,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Institute for Political Sciences,21.970556,#744557
481,Council of Europe Information Office,International,International,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Council of Europe Information Office,20.455196,#08486b
1652,The University of Warsaw,Poland,Universities and secondary schools,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,The University of Warsaw,19.95955,#ecd078
156,Portail de la Recherche et des Technologies en Région wallonne,Belgium,Subnational and local actors,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Portail de la Recherche et des Technologies en Région wallonne,19.468739,#d99ea0
1203,National Science Fund ,Bulgaria,Policy makers and governmental organizations,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,National Science Fund ,19.468739,#aad7a7
206,Åbo Akademi University,Finland,Universities and secondary schools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Åbo Akademi University,18.98283,#b7e0d5
1313,Postimees,Estonia,Media,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Postimees,18.98283,#d0e4a2
1607,Université de Mons-Hainaut,Belgium,Universities and secondary schools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Université de Mons-Hainaut,18.98283,#d99ea0
1612,Corvinus University,Hungary,Universities and secondary schools,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,Corvinus University,18.98283,#744557
235,Agrobiosciences,France,Advisory bodies,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Agrobiosciences,18.501877,#c02943
